iter	AUC	Logloss
169	0.8606223464	0.3978564065
170	0.8606696129	0.3977927598
171	0.8608184755	0.3976025594
172	0.8608514667	0.3975584643
173	0.8609454334	0.3974075057
174	0.8610574007	0.3972935704
175	0.861087054	0.397246286
176	0.8611519337	0.3971208878
177	0.8612201512	0.3970148562
178	0.8612811267	0.3969409947
179	0.8613118827	0.3968624648
180	0.8613612056	0.3967656775
181	0.8614021838	0.3966697684
182	0.8614190519	0.3966248414
183	0.8614822328	0.3965770948
184	0.8615830839	0.3964393555
185	0.8616596162	0.3963723809
186	0.8617467582	0.396284237
187	0.861867249	0.3961319842
188	0.8619862497	0.3959806559
189	0.8620233238	0.3959519525
190	0.8620340526	0.3958945919
191	0.862057507	0.395866628
192	0.8621018231	0.395797897
193	0.8621307611	0.3957370699
194	0.8622086048	0.3955935067
195	0.8622785509	0.3955098
196	0.8623202741	0.3954111177
197	0.8624149859	0.3952546125
198	0.8624639213	0.3951757128
199	0.8624839485	0.3951128519
200	0.8626829982	0.3948906202
201	0.862722069	0.3948123676
202	0.8627913892	0.3947417878
203	0.8628026545	0.394693163
204	0.8628301322	0.3946132003
205	0.8629016578	0.3945326366
206	0.8630306721	0.3944020154
207	0.8631877005	0.3942137563
208	0.8633318841	0.3940113534
209	0.8633609712	0.3939758555
210	0.8634794354	0.3938248045
211	0.8635893762	0.3937002382
212	0.8636673987	0.3936285491
213	0.8637439609	0.3935484014
214	0.8637576699	0.3934697328
215	0.8637710214	0.3934533705
216	0.8637778759	0.3934366847
217	0.8638429344	0.3933345819
218	0.8639107645	0.3932360382
219	0.8639528453	0.3931821905
220	0.864043504	0.3930657592
221	0.8641272783	0.3929817289
222	0.8641626835	0.3929426258
223	0.8642173707	0.3928554525
224	0.8642868996	0.3927497907
225	0.8643020988	0.3927320418
226	0.8643343449	0.3926886862
227	0.8643882871	0.3926261489
228	0.8644790947	0.3925033852
229	0.8645326495	0.3924285068
230	0.8646159172	0.3923285765
231	0.8646422029	0.3922610472
232	0.8646907806	0.3922168135
233	0.8647052348	0.3921819627
234	0.8647870719	0.3920530516
235	0.8648543656	0.3919780346
236	0.8649505675	0.3918793984
237	0.8649822474	0.3918304501
238	0.865024507	0.3917900527
239	0.8651729822	0.3916168617
240	0.8652149737	0.3915699009
241	0.8652606606	0.3915075947
242	0.8653778434	0.3913595943
243	0.8655333519	0.3911644944
244	0.865562439	0.3911388416
245	0.8655802608	0.3911046379
246	0.8656677306	0.3910026276
247	0.8658562303	0.3907891779
248	0.865957737	0.3906784318
249	0.8660244644	0.3905643115
250	0.8661547601	0.3904177902
251	0.8663703501	0.390083287
252	0.8664735854	0.3899475352
253	0.8665677607	0.389848899
254	0.8666639626	0.3896872633
255	0.8666873276	0.3896671571
256	0.8667367995	0.3895793367
257	0.8667523861	0.3895229468
258	0.8668172657	0.3894434463
259	0.8668860495	0.3893669039
260	0.8669854105	0.3892634145
261	0.8670404255	0.3891999065
262	0.8670576513	0.3891764724
263	0.8670707345	0.3891523449
264	0.8671694696	0.3890628143
265	0.8671928048	0.3890227405
266	0.8672254384	0.3889838684
267	0.8673216403	0.3888892535
268	0.8673653901	0.3888066562
269	0.8674018979	0.3887467996
270	0.867464751	0.3887042761
271	0.867531836	0.3886036062
272	0.8675696552	0.3885701883
273	0.8676265776	0.3884934148
274	0.8676482439	0.388459211
275	0.867690295	0.3883878454
276	0.8677542508	0.3883035841
277	0.8677787483	0.3882673466
278	0.8678810596	0.3881492514
279	0.8678958714	0.3881241994
280	0.8679355681	0.3880742343
281	0.8680560291	0.3878942025
282	0.8680636585	0.3878798739
283	0.8681177795	0.387803008
284	0.8681817353	0.3877450003
285	0.8682542145	0.3876509401
286	0.8683157265	0.3875857681
287	0.8683628142	0.3875322439
288	0.8684780896	0.3874092492
289	0.8685012758	0.3873810311
290	0.8686571717	0.3872208976
291	0.8686684668	0.3872114916
292	0.8686955273	0.3871650855
293	0.8687383831	0.3871053676
294	0.8687370718	0.3870857467
295	0.8688277304	0.386990554
296	0.8688835204	0.3869070785
297	0.8688685	0.3868933508
298	0.8689396679	0.3868440789
299	0.8690151274	0.3867537626
300	0.8690243661	0.3867443103
301	0.8690221608	0.3867261223
302	0.8691726625	0.386553301
303	0.8691650629	0.3865443341
304	0.8692975938	0.3864293126
305	0.8693159521	0.386395779
306	0.8694138229	0.3863006788
307	0.8694807589	0.3861796947
308	0.8695521057	0.3860887313
309	0.8695830405	0.3860426025
310	0.8696299493	0.3859619464
311	0.8696392477	0.3859433655
312	0.8696768582	0.3858820761
313	0.8697181642	0.385846324
314	0.8697598875	0.3858000334
315	0.8698329031	0.3857289682
316	0.869961381	0.3855746817
317	0.8700403273	0.3854681417
318	0.870095402	0.3854109198
319	0.8701467216	0.3853488447
320	0.8702742755	0.3852242322
321	0.8703043163	0.3851719098
322	0.8703043163	0.3851479672
323	0.8703680933	0.3850944429
324	0.8704620302	0.3849833733
325	0.8704690635	0.384975793
326	0.8704837263	0.3849463039
327	0.8705330193	0.3848994817
328	0.8706837595	0.3847287404
329	0.8708705604	0.3845255056
330	0.870878011	0.3845088198
331	0.8708746731	0.3844925961
332	0.8709208071	0.3844486859
333	0.8709671795	0.3844053073
334	0.8710023761	0.3843573758
335	0.8710843027	0.3842805561
336	0.8711796105	0.3841612129
337	0.8711920977	0.3841402284
338	0.8712433279	0.3840926205
339	0.8713556826	0.3839421935
340	0.8713630736	0.3839335501
341	0.871403873	0.3838907492
342	0.8714748919	0.383829691
343	0.8715417683	0.3837293678
344	0.8716003597	0.3836269184
345	0.8716835678	0.3835479956
346	0.871811837	0.3833865679
347	0.8718628287	0.3833053572
348	0.8719829619	0.3831939871
349	0.8720233738	0.3831353785
350	0.8720674813	0.3830481128
351	0.8721004426	0.3829798902
352	0.8721822202	0.3828638287
353	0.8722938001	0.3827327915
354	0.8723221719	0.3827002748
355	0.872356087	0.3826539149
356	0.8723629415	0.3826396094
357	0.8724037111	0.3825544006
358	0.8724630177	0.3824787364
359	0.8724761903	0.3824515352
360	0.8724847138	0.3824415052
361	0.8725067675	0.3824021478
362	0.8725245893	0.3823376691
363	0.8725521863	0.3822887671
364	0.8725946248	0.3822158761
365	0.87268731	0.3820999764
366	0.8727371991	0.3820489943
367	0.8727879822	0.3819681534
368	0.8728398979	0.3818978277
369	0.8729008734	0.381784239
370	0.8729034364	0.3817794782
371	0.8729271591	0.3817318935
372	0.8730055988	0.3816295365
373	0.8731255233	0.3814804961
374	0.8731351793	0.3814315016
375	0.8731857836	0.3813731935
376	0.8732734621	0.3812709059
377	0.8732782602	0.381245854
378	0.8733650148	0.381153319
379	0.8733766973	0.3811388287
380	0.8733811378	0.3811339985
381	0.8733867109	0.3811166193
382	0.8733976185	0.3810951958
383	0.8734849393	0.3810158801
384	0.8735251725	0.3809625177
385	0.873573333	0.3809011359
386	0.8735789359	0.3808816999
387	0.8736170828	0.3808432207
388	0.8737092316	0.3807450467
389	0.8737253547	0.3807294471
390	0.8737511337	0.3806800135
391	0.8737498224	0.3806482826
392	0.8738375008	0.3805391542
393	0.8739046156	0.3804731503
394	0.8739843071	0.3803718333
395	0.873990804	0.3803352261
396	0.8741433322	0.3801391555
397	0.8741820753	0.3801096202
398	0.8742412031	0.3800317142
399	0.8742615879	0.3799906236
400	0.8742886484	0.3799461125
401	0.8743422329	0.3798794615
402	0.8744579256	0.3797496953
403	0.8744918406	0.3797195591
404	0.8745244443	0.3796895152
405	0.8745613396	0.3796424851
406	0.8746354878	0.3795682076
407	0.8746844232	0.3795234423
408	0.8747448623	0.3794616907
409	0.8748341203	0.3793466691
410	0.874907583	0.3792658282
411	0.8749656379	0.3792277881
412	0.8749820888	0.3792004251
413	0.8749958277	0.3791591264
414	0.8751226366	0.3790330349
415	0.8751917779	0.3789529797
416	0.8752528429	0.3788518245
417	0.8753055632	0.3787736412
418	0.8754346073	0.3786146402
419	0.8754977882	0.3785464407
420	0.8755949438	0.3784385603
421	0.8756640851	0.3783674489
422	0.8757277131	0.3782848516
423	0.8757948279	0.3782023235
424	0.8758419156	0.3781335925
425	0.875872314	0.3780982564
426	0.8759147525	0.3780464193
427	0.8759272099	0.3780332
428	0.8759688735	0.3779859156
429	0.8759720325	0.3779711017
430	0.876020968	0.3779083102
431	0.8761900067	0.3777141809
432	0.8762004375	0.3777015625
433	0.8762457967	0.3776495405
434	0.8762621284	0.377628949
435	0.8762791753	0.3775824966
436	0.8763379455	0.3775235414
437	0.8764654994	0.3773460056
438	0.8765073419	0.3772856869
439	0.8765594363	0.3772345431
440	0.8765707612	0.3772098378
441	0.8766589761	0.3771125421
442	0.8766753078	0.3770959487
443	0.8767676353	0.3770092838
444	0.8767960072	0.3769754499
445	0.8768143058	0.3769387502
446	0.8768619895	0.3768934996
447	0.8768665791	0.3768874446
448	0.8768786788	0.3768692334
449	0.8769323826	0.3768107173
450	0.8769580126	0.376764057
451	0.876986146	0.3767311937
452	0.8770326972	0.3766835165
453	0.8770612478	0.3766517856
454	0.8770679235	0.3766459848
455	0.8771197796	0.3765591813
456	0.877117753	0.3765510926
457	0.8771212697	0.3765468171
458	0.8771535158	0.3765027914
459	0.8771907091	0.3764695121
460	0.8772349358	0.3764165425
461	0.8772699237	0.3763723319
462	0.8772881031	0.376351671
463	0.8772975802	0.3763332056
464	0.8773557544	0.3762853435
465	0.8773595095	0.3762819463
466	0.8774171472	0.376199164
467	0.8774343729	0.3761510477
468	0.8774844408	0.3760968995
469	0.8775533438	0.3760151804
470	0.8775756359	0.3759853676
471	0.8776000738	0.3759520883
472	0.8776469827	0.3759089408
473	0.8776992559	0.3758452479
474	0.8777192831	0.3758266208
475	0.8777884245	0.3757179777
476	0.8777832389	0.3757050589
477	0.8777843118	0.3757041345
478	0.8777843118	0.3757034412
479	0.8779235482	0.375559462
480	0.8779457808	0.3755152513
481	0.8779760003	0.3754865017
482	0.8780260682	0.3754187876
483	0.878049612	0.3753863865
484	0.8781672716	0.3752356128
485	0.8782060146	0.3751938288
486	0.8784075379	0.3749563209
487	0.878477484	0.3748860184
488	0.8784945309	0.3748733307
489	0.8785052299	0.374835383
490	0.8785532117	0.3747664903
491	0.8785921335	0.3747165482
492	0.878624022	0.3746750877
493	0.8787061572	0.3745859963
494	0.8787578344	0.3745471473
495	0.8787611723	0.3745419937
496	0.8787804842	0.3745294446
497	0.8788244128	0.3744753426
498	0.8788351417	0.3744556986
499	0.8788451552	0.3744436349
500	0.8788718581	0.3744190683
501	0.8789048195	0.374380566
502	0.8789007664	0.3743546127
503	0.8789413571	0.3743231592
504	0.8789765835	0.3742393832
505	0.8789784312	0.3742373725
506	0.8789864182	0.3742228128
507	0.8789854646	0.3742116735
508	0.8790725172	0.3741209181
509	0.8790950179	0.3741050411
510	0.8791146874	0.3740772621
511	0.879166007	0.3740015055
512	0.8792846799	0.3738812841
513	0.8792868853	0.3738653146
514	0.8793141246	0.3738204338
515	0.8793302774	0.3738095256
516	0.8793256283	0.3738041408
517	0.8793714046	0.3737508939
518	0.8793749213	0.3737451625
519	0.8793932796	0.3737118139
520	0.8794027567	0.3736951973
521	0.8794298172	0.3736419042
522	0.8794440627	0.3735987798
523	0.8794901967	0.3735586135
524	0.8795220852	0.3735159051
525	0.8795534372	0.3734773566
526	0.8795933127	0.3734354801
527	0.879674077	0.3733232087
528	0.8796967268	0.3732809856
529	0.8796987534	0.3732754853
530	0.8797630668	0.3732243415
531	0.8798006773	0.3732094351
532	0.8798507452	0.3731269302
533	0.8799115419	0.3730867639
534	0.8799232244	0.3730736371
535	0.879930079	0.373069015
536	0.8799436092	0.3730544322
537	0.8799740076	0.3730278087
538	0.8800274134	0.3729519134
539	0.8800392747	0.3729474762
540	0.8800811768	0.3729124174
541	0.8800989389	0.3728869264
542	0.8801109791	0.3728733604
543	0.880177021	0.372804121
544	0.8801895976	0.3727802015
545	0.8802222013	0.372722841
546	0.8802428246	0.3727005161
547	0.8802444339	0.3726975579
548	0.8802567124	0.3726803174
549	0.8802857995	0.3726287114
550	0.8803032041	0.3726120717
551	0.8803588152	0.3725420003
552	0.8803668022	0.3725285499
553	0.8803775311	0.3725054393
554	0.8804783821	0.3723900018
555	0.8804911971	0.3723749567
556	0.8805193305	0.372342833
557	0.8805920482	0.3722643262
558	0.8806129694	0.3722522624
559	0.8806416988	0.3722225653
560	0.8806602359	0.3721731086
561	0.880746603	0.3720693419
562	0.8807942271	0.3720154248
563	0.8808215261	0.3719783322
564	0.8808215261	0.3719759287
565	0.8808225989	0.3719718381
566	0.8808268905	0.371966384
567	0.880828917	0.3719647894
568	0.8808615208	0.3719266338
569	0.8808643222	0.3719244845
570	0.8808948994	0.3718957117
571	0.8809102774	0.3718638422
572	0.8809230924	0.3718432968
573	0.881028533	0.3717248318
574	0.881033361	0.3717218736
575	0.8810343146	0.371720071
576	0.8810366988	0.3717145707
577	0.8810370564	0.3717128605
578	0.8811016083	0.3716280445
579	0.88110286	0.3716257334
580	0.8811039925	0.3716231913
581	0.8811368942	0.3715929395
582	0.8811404109	0.3715882711
583	0.8811610043	0.3715657614
584	0.8812248707	0.3714956437
585	0.8812270761	0.3714931478
586	0.8812311292	0.3714891728
587	0.8812355995	0.371485244
588	0.8812355995	0.3714828636
589	0.8812487721	0.3714610471
590	0.8812995553	0.3714215511
591	0.8813208938	0.3713878789
592	0.8813219666	0.371385383
593	0.8813683391	0.3713250411
594	0.8813809156	0.3713105508
595	0.8813810945	0.3712807381
596	0.8813824058	0.3712781034
597	0.8814356327	0.371215127
598	0.8814665675	0.3711809002
599	0.8814910054	0.3711378913
600	0.8815709352	0.3710561952
601	0.8816117048	0.3710004755
602	0.881642282	0.3709725579
603	0.8816786408	0.3709267989
604	0.8816997409	0.3708922947
605	0.881708622	0.3708728356
606	0.881744206	0.3708372683
607	0.8817939162	0.3707769958
608	0.8818150163	0.3707354891
609	0.881845057	0.3706855702
610	0.8818543553	0.3706747313
611	0.8818539381	0.3706743615
612	0.8819073439	0.3705881127
613	0.8819279075	0.3705656954
614	0.8819285035	0.3705643087
615	0.8819364309	0.3705503268
616	0.8819924593	0.3704813878
617	0.8820118904	0.3704554115
618	0.8820204139	0.3704433708
619	0.8820295334	0.3704398118
620	0.882142961	0.370350027
621	0.8822026253	0.3702801867
622	0.8822376728	0.3702385183
623	0.8822802901	0.3701920197
624	0.8822947741	0.3701392581
625	0.8823133111	0.3701066491
626	0.8823243976	0.3700931987
627	0.8823248148	0.3700912112
628	0.8823260665	0.3700887383
629	0.882345736	0.3700632473
630	0.8823516369	0.3700514609
631	0.882353127	0.370049612
632	0.8824319243	0.3699545118
633	0.8824330568	0.3699517154
634	0.8824799657	0.3698904261
635	0.8824801445	0.3698864741
636	0.8824892044	0.369882892
637	0.88249439	0.369874734
638	0.8825082779	0.3698662292
639	0.8825125694	0.3698638488
640	0.8825137019	0.3698622311
641	0.8825234771	0.3698497976
642	0.88253057	0.3698395134
643	0.8825314641	0.3698375721
644	0.8825511336	0.369814577
645	0.8825520277	0.3698123815
646	0.8825868964	0.3697396292
647	0.8826096654	0.369715756
648	0.8826102614	0.3697135836
649	0.8826304674	0.3696614691
650	0.8826927543	0.3695952803
651	0.8828539848	0.3694202867
652	0.8828582764	0.3694125908
653	0.8828719854	0.3693968063
654	0.8829474449	0.3693141164
655	0.8829583526	0.3692962519
656	0.8829620481	0.3692908672
657	0.882983923	0.3692654686
658	0.8829932213	0.3692548146
659	0.8829980493	0.3692365803
660	0.8830032349	0.3692329751
661	0.8830513954	0.3691767007
662	0.8831025958	0.3691170753
663	0.8831179738	0.369083588
664	0.8831346631	0.369048922
665	0.8831794858	0.3689808844
666	0.8831968904	0.3689376906
667	0.8832764626	0.3688372287
668	0.8833865523	0.3686923945
669	0.8834091425	0.3686628822
670	0.883459568	0.3686132868
671	0.8834860921	0.3685713872
672	0.8835090399	0.3685443709
673	0.8836240172	0.3683840987
674	0.8836319447	0.3683336483
675	0.8836334348	0.368331499
676	0.8836634755	0.3682920954
677	0.88365978	0.3682768423
678	0.8836755157	0.3682320077
679	0.8837116957	0.3681636696
680	0.8837127686	0.3681603879
681	0.8837374449	0.3681303672
682	0.8837611675	0.3681087126
683	0.8837828636	0.3680735613
684	0.8837880492	0.3680691472
685	0.8838054538	0.3680519066
686	0.883831203	0.3680125261
687	0.883847177	0.3679967185
688	0.8838832974	0.3679506128
689	0.8839281797	0.3678942691
690	0.8839296699	0.3678918425
691	0.8839398623	0.3678749717
692	0.8839709759	0.3678408604
693	0.8839648962	0.3678352677
694	0.8839778304	0.3678194138
695	0.8840549588	0.3677263935
696	0.8840755224	0.3676851411
